userid	offerid	countrycode	category	merchant	utcdate	rating
fa937b779184527f12e2d71c711e6411236d1ab59f8597d7494af26d194f0979	c5f63750c2b5b0166e55511ee878b7a3	de	100020213	f3c93baa0cf4430849611cedb3a40ec4094d1d370be8417181da5d13ac99ef3d	2016-06-14 17:28:47.0	0
f6c8958b9bc2d6033ff4c1cc0a03e9ab96df4bcc528913be886254d1ad8c7c44	19754ec121b3a99fff3967646942de67	de	100020213	21a509189fb0875c3732590121ff3fc86da770b0628c1812e82f023ee2e0f683	2016-06-14 17:28:48.0	0
02fe7ccf1de19a387afc8a11d08852ffd2b4dabaed4e2d2af9130e9c5dfb9ee8	5ac4398e4d8ad4167a57b43e9c724b18	de	125801	b042951fdb45ddef8ba6075ced0e5885bc2fa4c4470bf790432e606d85032017	2016-06-14 17:28:50.0	0
9de5c06d0a16256b13b8e7cdc50bf203ecef533eb5cbe18d514947b1c5296f33	be83df9772ec47fd210b28091138ff11	de	125801	4740b6c83b6e12e423297493f234323ffd1c991f3d4496a71daebbef01d6dcf0	2016-06-14 17:29:19.0	0
8d26ade603ea5473c3844aebfcd9e96e6adc8ff411576ebdf3c4147eab4ef0f3	3735290a415dc236bacd7ed3aa03b2d5	de	125801	8bf8f87492a799528235c04bb18ff2d12db5058ff6e9a07041739be984a72df9	2016-06-14 17:29:31.0	0
2279b03c00974bddbfe125c132b3bc345fa7f43c9bf8382bb712ee548e74a960	5e378677ca9bb41114562e84001c8516	de	125801	6f529242bbc6dfa46a35f7b9d37a32cd11a0838f204c24f95615d29d2d363ada	2016-06-14 17:29:35.0	0
ac47f1435465a5ea7ada276d932ee0edb1183c8be5400eab1da378b91e2fa17e	c5f63750c2b5b0166e55511ee878b7a3	de	100020213	f3c93baa0cf4430849611cedb3a40ec4094d1d370be8417181da5d13ac99ef3d	2016-06-14 17:29:40.0	0
f995532bea494dd6723d09ad14fc5a09e8915e8a34f517349a5507fdef960e38	3735290a415dc236bacd7ed3aa03b2d5	de	125801	8bf8f87492a799528235c04bb18ff2d12db5058ff6e9a07041739be984a72df9	2016-06-14 17:29:44.0	0
86a72829216e060e3d2dfbed59e8a16cd1f29298f3f2e603bb85762677340ea1	c5f63750c2b5b0166e55511ee878b7a3	de	100020213	f3c93baa0cf4430849611cedb3a40ec4094d1d370be8417181da5d13ac99ef3d	2016-06-14 17:29:47.0	0
97a1f16217d5a0eab97b872b1667a315a0ebdc651ffbcff59d353f936913125c	be83df9772ec47fd210b28091138ff11	de	125801	4740b6c83b6e12e423297493f234323ffd1c991f3d4496a71daebbef01d6dcf0	2016-06-14 17:30:15.0	0
1eb5abc5c729020dc5d554a82011f460575714809972a31383a018803eca4d6f	ebb77a97cfdfd01c8b2f5cbffb1d5627	de	100020213	ac26975cf46eae9898b7d906bdfbbf99ce7813ffc3f9b7c42163a55e02e81516	2016-06-14 17:30:17.0	0
d26746acd4c87e876cad23e8b91f9aa4f7870af46e6edcd1a12934c5fa92fdfb	3735290a415dc236bacd7ed3aa03b2d5	de	125801	8bf8f87492a799528235c04bb18ff2d12db5058ff6e9a07041739be984a72df9	2016-06-14 17:30:24.0	0
a3c66efe8dbcb2cb76e3614c8b888fac95169669a37f7e50428384f751577a4e	c5f63750c2b5b0166e55511ee878b7a3	de	100020213	f3c93baa0cf4430849611cedb3a40ec4094d1d370be8417181da5d13ac99ef3d	2016-06-14 17:30:36.0	0
94f907d2dcfa83009bb2187df882e5ce659a97d708f40309141e7d833cfce204	5ac4398e4d8ad4167a57b43e9c724b18	de	125801	b042951fdb45ddef8ba6075ced0e5885bc2fa4c4470bf790432e606d85032017	2016-06-14 17:30:42.0	0
b09a90100ef4c35b797331dda8f51b5261790a03d4c6b3da7b3ce6c309f9358d	3735290a415dc236bacd7ed3aa03b2d5	de	125801	8bf8f87492a799528235c04bb18ff2d12db5058ff6e9a07041739be984a72df9	2016-06-14 17:30:53.0	0
5b182f985f66a6fa187fd1d7741ce1bd4336994836b38f9fed3496f852216349	60253e351dee27e77cd50366585517a3	de	125801	81dc9575e12600c50cca637701215bdf3d923eebcb08cc4c67fd928103c4931a	2016-06-14 17:31:11.0	0
